run,plate,grams,minutes,project
44,Q_EDGE_BRANCH_FULL,73.43,180.04,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
45,Q_EDGE_BRANCH_FULL,73.43,180.04,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
46,Q_EDGE_BRANCH_FULL,73.43,180.04,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
47,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
48,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
49,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
50,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
51,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
52,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
53,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
54,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
55,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
56,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
57,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
58,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
59,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
60,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
61,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
62,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
63,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
64,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
65,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
66,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
67,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
68,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
69,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
70,Q_RUNG_FULL,73.36,174.65,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
71,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
72,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
73,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
74,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
75,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
76,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
77,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
78,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
